"state","year","packs","rprice","rincome","tdiff","rtax"
"AL","y1985",116.486282348633,94.9643805736714,10.7638663816208,0.788412147737095,30.2044652078374
"AR","y1985",128.534591674805,94.3076215729821,10.4681652925192,0,34.386617892783
"AZ","y1985",104.522613525391,100.909621851728,12.8304560129152,4.80522110110831,28.8104095858452
"CA","y1985",100.363037109375,100.220579733844,15.713321463183,5.67286266934422,24.1635693300637
"CO","y1985",112.963539123535,87.608424507392,14.3261902629566,0,28.8104095858452
"CT","y1985",109.278350830078,118.982339076872,17.4386052058868,8.81350725481607,39.0334581485645
"DE","y1985",143.851135253906,95.2524753100494,14.9289909119935,0,27.8810415346889
"FL","y1985",122.181121826172,107.146843468671,13.6653819779981,5.10223216076149,34.386617892783
"GA","y1985",127.234619140625,90.1720925728844,12.213535171638,0.782372801136964,26.0223054323763
"IA","y1985",113.745582580566,94.6487037318934,12.4472581585512,3.64033448620684,31.5985137393141
"ID","y1985",103.018112182617,95.6313499167197,10.8244833936598,3.67812870659469,23.3271384385488
"IL","y1985",123.208480834961,97.063435518741,14.4109803902527,0.850604832053384,26.022310750263
"IN","y1985",137.63737487793,89.3866194438333,12.2131244559038,4.25650560339068,24.6282533556419
"KS","y1985",116.680397033691,91.9357944955885,13.3144451663588,2.67774027929098,29.7397776370015
"KY","y1985",186.035186767578,80.8561832951443,10.7407138613063,3.85029528673491,17.6579929719696
"LA","y1985",127.557266235352,100.737917927726,11.2628488937578,3.87453421406399,29.7397776370015
"MA","y1985",115.677597045898,104.282842437001,15.5387759121434,0,39.0334581485645
"MD","y1985",120.978706359863,85.4708822440418,15.7600238100331,0,26.9516734835326
"ME","y1985",128.116943359375,99.4865270233949,11.6473007059965,4.73745349895891,33.4572498416267
"MI","y1985",128.004852294922,97.5038770717323,13.6920312790296,0.772150050375897,34.386617892783
"MN","y1985",112.903228759766,105.622368449333,14.024321562514,5.97862342515772,31.5985137393141
"MO","y1985",130.373931884766,92.3217170746926,12.8862557596152,0.79445503959499,26.9516770287904
"MS","y1985",117.040184020996,97.8562615123937,9.22133272802578,5.53903273402967,25.6350675626419
"MT","y1985",104.257904052734,92.2785003825555,11.0633578287301,0,29.7397776370015
"NC","y1985",155.283767700195,78.9665396356494,11.7533717000974,3.03717446501506,16.7286249208133
"ND","y1985",105.465286254883,99.263941559971,11.9059981987295,3.81784554242555,31.5985137393141
"NE","y1985",107.381706237793,97.2180938434162,12.7696178754458,3.73915854636455,31.5985137393141
"NH","y1985",197.993988037109,88.7546488854263,14.697875562886,0,30.6691456881578
"NJ","y1985",116.521278381348,102.617719951669,16.4044894491709,0,38.1040900974082
"NM","y1985",88.7421798706055,95.5185894482936,11.1465497762267,3.67379108372104,26.0223054323763
"NV","y1985",141.955841064453,106.123143198944,14.2498166047269,6.00697130623471,28.8104095858452
"NY","y1985",116.66291809082,102.228464830267,15.5501498803588,0.818929726565348,34.3866214380407
"OH","y1985",127.598739624023,93.3306194385154,13.2839880290422,4.44431386078349,27.8810415346889
"OK","y1985",127.139366149902,94.3011904753991,12.3259369234099,0.768044641885758,31.5985137393141
"OR","y1985",119.453796386719,90.1796794244983,12.5880743391224,0,32.5278817904704
"PA","y1985",117.703025817871,101.369895576648,13.4237188677728,5.73791814930454,31.5985137393141
